,edge,gene1,gene2,q_value,scg
0,0-1,0,1,0.0,False
1,0-2,0,2,0.0,False
2,0-3,0,3,0.0,False
3,0-4,0,4,0.0,False
4,0-5,0,5,0.0,False
5,0-6,0,6,0.0,False
6,0-7,0,7,0.0,False
7,0-8,0,8,0.0,False
8,0-9,0,9,0.0,False
9,0-10,0,10,0.0,False
10,0-11,0,11,0.0,False
11,0-12,0,12,0.0,False
12,0-13,0,13,0.0,False
13,0-14,0,14,0.0,False
14,0-15,0,15,0.0,False
15,0-16,0,16,0.0,False
16,0-17,0,17,0.0,False
17,0-18,0,18,0.0,False
18,0-19,0,19,0.0,False
19,0-20,0,20,0.0,False
20,0-21,0,21,0.0,False
21,0-22,0,22,0.0,False
22,0-23,0,23,0.0,False
23,0-24,0,24,0.0,False
24,0-25,0,25,0.0,False
25,0-26,0,26,0.0,False
26,0-27,0,27,0.0,False
27,0-28,0,28,0.0,False
28,0-29,0,29,0.0,False
29,0-30,0,30,0.0,False
30,0-31,0,31,0.0,False
31,0-32,0,32,0.0,False
32,0-33,0,33,0.0,False
33,0-34,0,34,0.0,False
34,0-35,0,35,0.0,False
35,0-36,0,36,0.0,False
36,0-37,0,37,0.0,False
37,0-38,0,38,0.0,False
38,0-39,0,39,0.0,False
39,0-40,0,40,0.0,False
40,0-41,0,41,0.0,False
41,0-42,0,42,0.0,False
42,0-43,0,43,0.0,False
43,0-44,0,44,0.0,False
44,0-45,0,45,0.0,False
45,0-46,0,46,0.0,False
46,0-47,0,47,0.0,False
47,0-48,0,48,0.0,False
48,0-49,0,49,0.0,False
49,0-50,0,50,0.0,False
50,1-2,1,2,0.0,False
51,1-3,1,3,0.0,False
52,1-4,1,4,0.0,False
53,1-5,1,5,0.0,False
54,1-6,1,6,0.0,False
55,1-7,1,7,0.0,False
56,1-8,1,8,0.0,False
57,1-9,1,9,0.0,False
58,1-10,1,10,0.0,False
59,1-11,1,11,0.0,False
60,1-12,1,12,0.0,False
61,1-13,1,13,0.0,False
62,1-14,1,14,0.0,False
63,1-15,1,15,0.0,False
64,1-16,1,16,0.0,False
65,1-17,1,17,0.0,False
66,1-18,1,18,0.0040000000000000036,False
67,1-19,1,19,0.0,False
68,1-20,1,20,0.0,False
69,1-21,1,21,0.0,False
70,1-22,1,22,0.0,False
71,1-23,1,23,0.0,False
72,1-24,1,24,0.0,False
73,1-25,1,25,0.0,False
74,1-26,1,26,0.0,False
75,1-27,1,27,0.0,False
76,1-28,1,28,0.0,False
77,1-29,1,29,0.0,False
78,1-30,1,30,0.0,False
79,1-31,1,31,0.0,False
80,1-32,1,32,0.0,False
81,1-33,1,33,0.0,False
82,1-34,1,34,0.0,False
83,1-35,1,35,0.0,False
84,1-36,1,36,0.0,False
85,1-37,1,37,0.0,False
86,1-38,1,38,0.0,False
87,1-39,1,39,0.0,False
88,1-40,1,40,0.0,False
89,1-41,1,41,0.0,False
90,1-42,1,42,0.0,False
91,1-43,1,43,0.0,False
92,1-44,1,44,0.0,False
93,1-45,1,45,0.0,False
94,1-46,1,46,0.0,False
95,1-47,1,47,0.0,False
96,1-48,1,48,0.0,False
97,1-49,1,49,0.0,False
98,1-50,1,50,0.0,False
99,2-3,2,3,0.0020000000000000018,False
100,2-4,2,4,0.904,True
101,2-5,2,5,0.0040000000000000036,False
102,2-6,2,6,0.0,False
103,2-7,2,7,0.0,False
104,2-8,2,8,0.0,False
105,2-9,2,9,0.0,False
